time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-02-17T17:34:08.450Z,5.3868,94.4684,48.43,4.8,mb,,154,2.473,0.6,us,us200050wg,2016-02-18T01:36:35.910Z,"96km WSW of Banda Aceh, Indonesia",earthquake,4.4,8.4,0.088,40,reviewed,us,us
2016-02-17T17:26:02.320Z,0.8451,129.0729,10,6,mww,,22,1.707,0.94,us,us200050wc,2016-02-18T01:28:36.546Z,"153km SE of Tobelo, Indonesia",earthquake,6.7,1.7,,,reviewed,us,us
2016-02-17T15:48:17.950Z,7.0912,126.7737,71.14,4.7,mb,,93,1.185,0.83,us,us200050w2,2016-02-18T00:10:14.319Z,"29km ESE of Manay, Philippines",earthquake,9.6,7.8,0.074,55,reviewed,us,us
2016-02-17T15:26:29.330Z,-13.0968,66.5899,10,4.7,mb,,81,19.508,1.08,us,us200050vz,2016-02-17T23:31:33.803Z,"Mid-Indian Ridge",earthquake,9.6,1.9,0.102,29,reviewed,us,us
2016-02-17T11:15:24.080Z,-20.865,-175.267,10,4.9,mb,,101,5.328,0.95,us,us200050u6,2016-02-17T19:20:19.390Z,"30km NNW of Nuku`alofa, Tonga",earthquake,5.9,1.8,0.088,40,reviewed,us,us
2016-02-17T10:54:11.520Z,-31.1931,-71.6642,41.11,4.8,mb,,137,0.518,0.86,us,us200050u4,2016-02-17T18:56:54.223Z,"67km NW of Illapel, Chile",earthquake,6.7,6.7,0.131,18,reviewed,us,us
2016-02-17T08:47:48.050Z,-21.2593,-177.9893,474.64,4.7,mb,,97,5.114,0.52,us,us200050tu,2016-02-17T16:50:21.137Z,"100km SE of Ndoi Island, Fiji",earthquake,15.1,11.3,0.101,30,reviewed,us,us
2016-02-17T07:44:24.630Z,-30.5519,-177.6173,10,5.1,mb,,121,1.33,1.39,us,us200050ti,2016-02-17T15:46:56.053Z,"145km S of Raoul Island, New Zealand",earthquake,9.7,1.8,0.065,76,reviewed,us,us
2016-02-17T07:32:11.940Z,4.7328,127.8612,71.49,4.8,mb,,144,3.965,0.49,us,us200050td,2016-02-17T15:34:45.905Z,"259km SE of Pondaguitan, Philippines",earthquake,6.8,9,0.103,29,reviewed,us,us
2016-02-17T05:31:23.120Z,-4.6203,152.5368,58.3,4.7,mb,,101,0.565,0.59,us,us200050t6,2016-02-17T13:33:52.735Z,"42km SE of Kokopo, Papua New Guinea",earthquake,10.2,8.1,0.091,37,reviewed,us,us
2016-02-16T23:48:35.010Z,-55.8203,-125.1795,10,6,mwb,,72,30.876,1.27,us,us200050pj,2016-02-17T16:02:50.000Z,"Southern East Pacific Rise",earthquake,13.7,1.8,0.048,42,reviewed,us,us
2016-02-16T23:06:56.990Z,26.3655,93.4149,10,4.7,mb,,96,1.613,0.63,us,us200050p4,2016-02-17T02:24:16.094Z,"34km SSW of Bokakhat, India",earthquake,7,1.9,0.092,36,reviewed,us,us
2016-02-16T23:04:26.900Z,37.2023,-118.4035,15.1,4.8,Mw,52,104.4,0.1176793,0.07,nc,nc72592670,2016-02-24T02:49:48.937Z,"10km WNW of Big Pine, California",earthquake,0.3,0.6,,6,reviewed,nc,nc
2016-02-16T22:23:50.880Z,-15.6514,-72.9166,87.28,4.5,mb,,134,3.657,1.23,us,us200050nh,2016-02-17T11:55:32.994Z,"74km SW of Orcopampa, Peru",earthquake,9.2,9.1,0.113,23,reviewed,us,us
2016-02-16T21:29:45.440Z,-10.1471,111.5315,44.43,4.5,mb,,98,2.433,0.77,us,us200050n4,2016-02-17T05:32:17.732Z,"205km S of Ngulung Wetan, Indonesia",earthquake,9.2,9.6,0.132,17,reviewed,us,us
2016-02-16T20:05:22.340Z,-33.031,-15.8741,10,4.8,mb,,86,32.892,0.56,us,us10004r1r,2016-02-19T20:19:04.484Z,"Southern Mid-Atlantic Ridge",earthquake,11.7,1.5,0.149,14,reviewed,us,us
2016-02-16T19:07:15.120Z,-4.6583,152.6329,49.32,5,mb,,74,0.659,1.32,us,us200050mj,2016-02-19T18:44:00.412Z,"49km WSW of Taron, Papua New Guinea",earthquake,3.9,5.4,0.047,141,reviewed,us,us
2016-02-16T17:45:40.780Z,-14.3114,172.3997,618.29,4.5,mb,,108,5.149,0.68,us,us200050m6,2016-02-17T20:02:10.913Z,"Vanuatu region",earthquake,17,13.4,0.109,25,reviewed,us,us
2016-02-16T17:41:27.130Z,-3.5993,131.2897,37.63,4.5,mb,,65,4.354,0.92,us,us200050m3,2016-02-17T19:54:39.509Z,"265km E of Amahai, Indonesia",earthquake,8.9,6.3,0.086,39,reviewed,us,us
2016-02-16T16:50:52.090Z,-30.2238,-71.3306,49.67,4.5,mb,,156,0.314,0.88,us,us200050lr,2016-02-17T00:53:36.390Z,"30km S of Coquimbo, Chile",earthquake,8,8.1,0.543,1,reviewed,us,us
2016-02-16T15:27:19.120Z,-18.1025,-175.0637,246.63,4.8,mb,,70,4.967,0.99,us,us200050kq,2016-02-16T23:29:51.275Z,"129km WNW of Neiafu, Tonga",earthquake,10.1,7.5,0.06,86,reviewed,us,us
